tank_id,species,avg_daily_temp,num_fish,day_length,tank_volume,size_day_30,ammonia,density,avg_daily_temp_F,below,num_sick,oxygen
1,tilapia,22.95922077559707,95,9,399.6974556859545,2784.8949072395985,0.10561057443911752,0.23767977165869744,73.32659739607473,TRUE,63,9.480022500173444
2,tilapia,23.98087863912976,96,11,399.8071129890434,2781.0027221162445,0.09073854252558843,0.24011578804159708,75.16558155043356,FALSE,18,9.288951704646863
3,tilapia,23.970968767225376,101,11,398.8427024487231,2785.806605357431,0.10867732755694223,0.2532326638544552,75.14774378100569,FALSE,12,9.467007357635715
4,tilapia,24.264743155757277,98,10,399.8410223202899,2785.2531718243094,0.09421765851123734,0.24509741254487336,75.6765376803631,FALSE,0,9.322897269310216
5,tilapia,24.296234473872907,93,10,399.75613032754364,2786.9462540728323,0.09302317181622273,0.23264183572069214,75.73322205297123,FALSE,5,9.327848867150054
6,tilapia,23.951336537453813,101,11,398.88502092261206,2789.39808446485,0.09946008046332373,0.253205797917378,75.11240576741687,FALSE,11,9.431136951160735
7,tilapia,24.196946693487636,98,12,401.1209500590284,2788.5766020705787,0.08040722747688633,0.24431533677205952,75.55450404827775,FALSE,11,9.362435415150225
8,tilapia,23.89881476837423,109,10,399.3366296246264,2780.3276936838106,0.0860093823005924,0.2729526717908628,75.01786658307361,FALSE,0,9.688512770424266
9,tilapia,23.483374017745806,97,10,399.9489223347909,2782.075931803978,0.09897117162600805,0.24253096978919433,74.27007323194246,TRUE,55,9.726065907261727
10,tilapia,23.914028848394253,102,10,401.0162454535743,2789.959816511124,0.10130726020000197,0.2543537853052104,75.04525192710966,FALSE,23,9.314307976309719
11,tilapia,24.008170871832995,99,9,399.7669862710404,2785.1940849323228,0.10021639985205377,0.24764426128194186,75.21470756929939,FALSE,7,9.546083117165212
12,tilapia,23.48531989285691,99,11,400.14199217714923,2787.106416717588,0.1152859642027847,0.2474121735170727,74.27357580714244,TRUE,65,9.500482121610007
13,tilapia,23.094845410776937,94,11,398.3139138281643,2777.2106907782304,0.10246919780106566,0.23599476879070896,73.5707217393985,TRUE,61,9.579473114587488
14,tilapia,23.449352368053813,101,10,399.6511863543489,2779.6713112527477,0.09478865971686556,0.25272038079338716,74.20883426249686,TRUE,62,9.770550535308562
15,tilapia,23.547059169577544,100,9,401.2865164016056,2776.8408253401153,0.08277683134351521,0.24919850508986574,74.38470650523958,TRUE,66,9.616767119038851
16,tilapia,24.436714689309266,100,10,401.0072367743679,2775.4672830684663,0.1068047081032061,0.2493720582311245,75.98608644075668,FALSE,21,9.239191874047737
17,tilapia,24.341653154846142,100,11,399.99757155438283,2786.00628260013,0.08447394351053819,0.2500015177877254,75.81497567872306,FALSE,5,9.087466805830443
18,tilapia,23.91504973131911,98,10,400.958786552739,2779.1306017266024,0.09676575476731063,0.24441414750518214,75.0470895163744,FALSE,4,9.630010336897344
19,tilapia,23.52588918051134,103,11,398.8926999705787,2782.522930166876,0.10248419758712225,0.2582148031478065,74.3466005249204,TRUE,68,9.36411108461817
20,tilapia,24.787647336552833,102,9,399.9013791316295,2788.6816205776613,0.10376879192928494,0.25506288630834206,76.61776520579511,FALSE,17,9.479850616608656
21,tilapia,24.093412753602607,101,10,398.19989987468784,2793.2511226477714,0.09239748375614008,0.2536414500148904,75.36814295648469,FALSE,6,9.255169211324558
22,tilapia,24.56999684148154,100,10,399.96978661346185,2785.600498300155,0.08405650929852317,0.2500188847930202,76.22599431466676,FALSE,14,9.079278457787712
23,tilapia,23.852246115605215,98,11,399.1572548385022,2796.288567188441,0.10913517635509269,0.24551727123098516,74.93404300808939,TRUE,52,9.409052356824017
24,tilapia,24.254199472413195,97,10,399.8354245046295,2791.771234873427,0.08992390461698348,0.24259981496181035,75.65755905034375,FALSE,8,9.412017885543108
25,tilapia,24.589202265626376,101,11,399.90731766795756,2785.1933788174124,0.10387206719694879,0.25255851928136047,76.26056407812749,FALSE,10,9.016191427638768
26,tilapia,23.521592855033965,104,11,399.2299622728087,2780.9009070729658,0.10277786052653504,0.26050148993810474,74.33886713906114,TRUE,58,9.57628468953556
27,tilapia,23.34820873968495,100,11,400.2278668330768,2783.817871563301,0.08549663689951574,0.2498576643132824,74.0267757314329,TRUE,66,9.581471920341404
28,tilapia,24.19289150574613,105,10,399.21488167898104,2780.729177765033,0.0831554836417602,0.2630162471859784,75.54720471034304,FALSE,17,9.41199947225032
29,tilapia,23.35308885472558,105,11,400.53318273694725,2785.437849690315,0.10069581900928155,0.26215056461117087,74.03555993850605,TRUE,50,9.665820684363851
30,tilapia,23.74609063293969,100,11,400.39738601420623,2784.02069419526,0.10843272034222527,0.24975188023942785,74.74296313929145,TRUE,67,9.236782967344126
31,tilapia,23.64460351808678,103,10,400.5895391855193,2785.2375625203117,0.10079584745360551,0.25712104267480407,74.5602863325562,TRUE,73,9.559458778734509
32,tilapia,23.63692820104758,100,9,400.6788881475691,2789.412705267049,0.11019500319703737,0.24957641382685036,74.54647076188564,TRUE,63,9.519793245294295
33,tilapia,23.311540177884886,103,12,400.6840064807362,2782.5826304223183,0.09409423872638806,0.25706042251265143,73.9607723201928,TRUE,57,9.805750037681468
34,tilapia,25.01367242421354,102,8,399.82849574398114,2771.917775596112,0.12397277230119294,0.25510938086142015,77.02461036358437,FALSE,0,8.995020967361125
35,tilapia,23.61438738494479,107,10,400.45744114158384,2782.6973577473573,0.09423203748260196,0.2671944356807933,74.50589729290063,TRUE,65,9.665557302416062
36,tilapia,24.235145145917173,101,10,398.0665778593318,2779.9038681101297,0.10179883010684479,0.25372640060148743,75.62326126265091,FALSE,1,9.344753806956385
37,tilapia,23.33655062524918,99,10,400.62038095757975,2775.802437271923,0.09651425240575133,0.2471167337102671,74.00579112544852,TRUE,76,9.607668730844283
38,tilapia,24.163500201157312,100,9,399.76039142038996,2781.5941222563706,0.094056966997473,0.2501498451226988,75.49430036208317,FALSE,17,9.407728817494133
